rank,score,role,editorial_bucket,title,primary_phylum,primary_genus,matched_groups,inputs,outputs,claims,strategic_note,paper_url,paper_arxiv_id,abstract
154,100,core trend paper,C. cluster representative,Pano360: Perspective to Panoramic Vision with Geometric Consistency,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy; data_benchmark,multi-view images; panorama; multimodal / language,camera pose; mesh / surface,foundation/prior; scale; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Prior panorama stitching approaches heavily rely on pairwise feature correspondences and are unable to leverage geometric consistency across multiple views. This leads to severe distortion and misalignment, especially in challenging scenes with weak textures, large parallax, and repetitive patterns.Given that multi-view geometric correspondences can be directly constructed in 3D space, making them more accurate and globally consistent, we extend the 2D alignment task to the 3D photogrammetric space. We adopt a novel transformer-based architecture to achieve 3D awareness and aggregate global information across all views. It directly utilizes camera poses to guide image warping for global alignment in 3D space and employs a multi-feature joint optimization strategy to compute the seams.Additionally, to establish an evaluation benchmark and train our network, we collected a large-scale dataset of real-world scenes. Extensive experiments show that our method significantly outperforms existing alternatives in alignment accuracy and perceptual quality."
155,100,core trend paper,C. cluster representative,PanoVGGT: Feed-Forward 3D Reconstruction from Panoramic Imagery,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy; data_benchmark,panorama; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface,foundation/prior; unified pipeline; scale; robustness; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Panoramic imagery offers a full $360^\circ$ field of view and is increasingly common in consumer devices. However, it introduces non-pinhole distortions that challenge joint pose estimation and 3D reconstruction. Existing feed-forward models, built for perspective cameras, generalize poorly to this setting.We propose PanoVGGT, a permutation-equivariant Transformer framework that jointly predicts camera poses, depth maps, and 3D point clouds from one or multiple panoramas in a single forward pass. The model incorporates spherical-aware positional embeddings and a panorama-specific three-axis SO(3) rotation augmentation, enabling effective geometric reasoning in the spherical domain. To resolve inherent global-frame ambiguity, we further introduce a stochastic anchoring strategy during training. In addition, we contribute PanoCity, a large-scale outdoor panoramic dataset with dense depth and 6-DoF pose annotations. Extensive experiments on PanoCity and standard benchmarks demonstrate that PanoVGGT achieves competitive accuracy, strong robustness, and improved cross-domain generalization. Code and dataset will be released."
156,100,core trend paper,C. cluster representative,PiLoT: Neural Pixel-to-3D Registration for UAV-based Ego and Target Geo-localization,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; depth_correspondence; data_benchmark,video / temporal; RGB-D / depth,camera pose; depth / normals,unified pipeline; efficiency; scale; robustness; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"We present PiLoT, a unified framework that tackles UAV-based ego and target geo-localization. Conventional approaches rely on decoupled pipelines that fuse GNSS and Visual-Inertial Odometry (VIO) for ego-pose estimation, and active sensors like laser rangefinders for target localization. However, these methods are susceptible to failure in GNSS-denied environments and incur substantial hardware costs and complexity.PiLoT breaks this paradigm by directly registering live video stream against a geo-referenced 3D map. To achieve robust, accurate, and real-time performance, we introduce three key contributions: 1) a Dual-Thread Engine that decouples map rendering from core localization thread, ensuring both low latency while maintaining drift-free accuracy; 2) a large-scale synthetic dataset with precise geometric annotations (camera pose, depth maps). This dataset enables the training of a lightweight network that generalizes in a zero-shot manner from simulation to real data; and 3) a Joint Neural-Guided Stochastic-Gradient Optimizer (JNGO) that achieves robust convergence even under aggressive motion.Evaluations on a comprehensive set of public and newly collected benchmarks show that PiLoT outperforms state-of-the-art methods while running over 25 FPS on NVIDIA Jetson Orin platform. Our code and dataset will be made publicly available."
157,100,core trend paper,C. cluster representative,PoseGAM: Robust Unseen Object Pose Estimation via Geometry-Aware Multi-View Reasoning,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; depth_correspondence; data_benchmark,multi-view images,camera pose,foundation/prior; scale; robustness; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"6D object pose estimation, which predicts the transformation of an object relative to the camera, remains challenging for unseen objects. Existing approaches typically rely on explicitly constructing feature correspondences between the query image and either the object model or template images. In this work, we propose PoseGAM, a geometry-aware multi-view framework that directly predicts object pose from a query image and multiple template images, eliminating the need for explicit matching. Built upon recent multi-view-based foundation model architectures, the method integrates object geometry information through two complementary mechanisms: explicit point-based geometry and learned features from geometry representation networks. In addition, we construct a large-scale synthetic dataset containing more than 190k objects under diverse environmental conditions to enhance robustness and generalization. Extensive evaluations across multiple benchmarks demonstrate our state-of-the-art performance, yielding an average AR improvement of 5.1% over prior methods and achieving up to 17.6% gains on individual datasets, indicating strong generalization to unseen objects."
158,100,core trend paper,C. cluster representative,Registration-Free Learnable Multi-View Capture of Faces in Dense Semantic Correspondence,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,multi-view images,mesh / surface,,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Recent learning-based face reconstruction and registration frameworks such as ToFu and TEMPEH have shown that dense correspondence between facial scans and a common topology can be learned directly from images. However, these approaches still depend on precomputed registrations obtained through iterative optimization pipelines that often require manual verification and correction by human annotators. We introduce MOCHI (Multi-view Optimizable Correspondence of Heads from Images), a fully differentiable and registration-free alternative. Instead of relying on optimization-based registrations, we employ a pseudo-linear inverse kinematic solver in conjunction with dense 2D keypoints produced by a tracker trained only on synthetic data to directly enforce a common face topology at the vertex level. We further find that the commonly used point-to-surface distance can lead to unstable training and artifacts, and instead use pointmap- and normal-based losses that provide smoother gradients, more stable optimization, and improved reconstruction results.Additionally, we introduce at inference a brief test-time-optimization scheme which can further refine the results of the network, resulting in registrations that outperform traditional labor-intensive pipelines.Despite removing external registrations, our extensive experimental results show that MOCHI surpasses the previous state-of-the-art in reconstruction accuracy and visual fidelity. The code and the model will be made public."
159,100,core trend paper,C. cluster representative,Rethinking 2D-3D Registration: A Novel Network for High-Value Zone Selection and Representation Consistency Alignment,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,RGB-D / depth; multimodal / language,camera pose; point map / point cloud,,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Both detection-then-match and detection-free methods have been extensively studied for image-to-point cloud registration, yet they still face significant challenges. The detection-then-match approach emphasizes high-quality correspondences but is limited by the availability of repeatable keypoints, making it susceptible to errors from incorrect matches. In contrast, detection-free methods aim for dense correspondences using a coarse-to-fine strategy to mitigate matching errors. However, non-overlapping regions and low-quality matches still introduce inaccuracies, and the differences between image texture and point cloud structure cause inconsistent region representations, increasing the likelihood of incorrect matches.To address these challenges, we propose two innovative modules: the High-Value Zone Reinforced Selection Module (HZRS) and the Zone Representation Consistency Alignment Module (ZRCA). HZRS employs reinforcement learning to resolve the non-differentiable issue of selecting high-value matching regions, while ZRCA improves region alignment through three stages: understand, coordinate, and accelerate.Extensive experiments and ablation studies on RGB-D Scenes v2 and 7-Scenes demonstrate the superiority of our network, establishing it as the state-of-the-art for image-to-point cloud registration."
160,100,core trend paper,C. cluster representative,SceneMaker: Open-set 3D Scene Generation with Decoupled De-occlusion and Pose Estimation Model,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; surface_occupancy; generation_editing; data_benchmark,,camera pose; mesh / surface; editable / generative 3D,foundation/prior; unified pipeline; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"We propose a decoupled 3D scene generation framework called SceneMaker in this work. Due to the lack of sufficient open-set de-occlusion and pose estimation priors, existing methods struggle to simultaneously produce high-quality geometry and accurate poses under severe occlusion and open-set settings. To address these issues, we first decouple the de-occlusion model from 3D object generation, and enhance it by leveraging image datasets and collected de-occlusion datasets for much more diverse open-set occlusion patterns. Then, we propose a unified pose estimation model that integrates global and local mechanisms for both self-attention and cross-attention to improve accuracy. Besides, we construct an open-set 3D scene dataset to further extend the generalization of the pose estimation model. Comprehensive experiments demonstrate the superiority of our decoupled framework on both indoor and open-set scenes. Our codes and datasets will be released if the paper is accepted."
161,100,core trend paper,C. cluster representative,ShapeR: Robust Conditional 3D Shape Generation from Casual Captures,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; surface_occupancy; data_benchmark,multi-view images,mesh / surface; editable / generative 3D,robustness; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Recent advances in 3D shape generation have achieved impressive results, but most existing methods rely on clean, unoccluded, and well-segmented inputs. Such conditions are rarely met in real-world scenarios. We present ShapeR, a novel approach for conditional 3D object shape generation from casually captured sequences. Given a image sequence, we leverage off-the-shelf visual-inertial SLAM,3D detection algorithms and VLMs to extract for each object, a set of sparse SLAM points, posed multi-view images, and machine-generated captions. A rectified flow transformer trained to effectively condition on these modalities then generates high-fidelity metric 3D shapes. To ensure robustness to the challenges of casually captured data, we employ a range of techniques including on-the-fly compositional augmentations, a curriculum training scheme spanning object- and scene-level datasets, and strategies to handle background clutter. Additionally, we introduce a new evaluation benchmark comprising 178 in the wild objects across 7 real-world scenes with geometry annotations. Experiments show that ShapeR significantly outperforms existing approaches in this challenging setting, achieving an improvement of 2.7x in Chamfer distance compared to SoTA."
162,100,core trend paper,C. cluster representative,SpatialVID: A Large-Scale Video Dataset with Spatial Annotations,3D Vision & Geometry,Pose Estimation,pose_calibration_localization; depth_correspondence; dynamic_4d; generation_editing; data_benchmark,video / temporal; RGB-D / depth,camera pose; depth / normals; 4D scene; editable / generative 3D,foundation/prior; scale; robustness; dynamic; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Significant progress has been made in spatial intelligence, spanning both spatial reconstruction and world exploration. However, the scalability and real-world fidelity of current models remain severely constrained by the scarcity of large-scale, high-quality training data. While several datasets provide camera pose information, they are typically limited in scale, diversity, and annotation richness, particularly for real-world dynamic scenes with ground-truth camera motion.To this end, we collect **SpatialVID**, a dataset consisting of a large corpus of in-the-wild videos with diverse scenes, camera movements and dense 3D annotations such as per-frame camera poses, depth, and motion instructions.Specifically, we collect more than 21,000 hours of raw video, and process them into 2.7 million clips through a hierarchical filtering pipeline, totaling 7,089 hours of dynamic content. A subsequent annotation pipeline enriches these clips with detailed spatial and semantic information, including camera poses, depth maps, dynamic masks, structured captions, and serialized motion instructions.Analysis of SpatialVID's data statistics reveals a richness and diversity that directly foster improved model generalization and performance, establishing it as a key asset for the video and 3D vision research community.Through extensive validation experiments, we demonstrate SpatialVID’s effectiveness across tasks such as controllable video generation, world simulation and geometric reconstruction, providing a strong foundation for spatial intelligence research."
163,100,core trend paper,C. cluster representative,TagSplat: Topology-Aware Gaussian Splatting for Dynamic Mesh Modeling and Tracking,3D Vision & Geometry,3D Gaussian Splatting,gaussian_radiance; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing,video / temporal,Gaussian map; mesh / surface; radiance field / NVS; 4D scene; editable / generative 3D,dynamic; editing/generation,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Topology-consistent dynamic model sequences are essential for applications such as animation and model editing. However, existing 4D reconstruction methods face challenges in generating high-quality topology-consistent meshes. To address this, we propose a topology-aware dynamic reconstruction framework based on Gaussian Splatting. We introduce a Gaussian topological structure that explicitly encodes spatial connectivity. This structure enables topology-aware densification and pruning, preserving the manifold consistency of the Gaussian representation. Temporal regularization terms further ensure topological coherence over time, while differentiable mesh rasterization improves mesh quality. Experimental results demonstrate that our method reconstructs topology-consistent mesh sequences with significantly higher accuracy than existing approaches. Moreover, the resulting meshes enable precise 3D keypoint tracking."
164,100,core trend paper,C. cluster representative,TopoMesh: High-Fidelity Mesh Autoencoding via Topological Unification,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; surface_occupancy; generation_editing,multimodal / language,point map / point cloud; mesh / surface; occupancy / voxel; editable / generative 3D,foundation/prior; unified pipeline; efficiency; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"The dominant paradigm for high-fidelity 3D generation relies on a VAE-Diffusion pipeline, where the VAE's reconstruction capability sets a firm upper bound on generation quality. A fundamental challenge limiting existing VAEs is the \textit{representation mismatch} between ground-truth meshes and network predictions: GT meshes have arbitrary, variable topology, while VAEs typically predict fixed-structure implicit fields (\eg, SDF on regular grids). This inherent misalignment prevents establishing explicit mesh-level correspondences, forcing prior work to rely on indirect supervision signals such as SDF or rendering losses. Consequently, fine geometric details, particularly sharp features, are poorly preserved during reconstruction. To address this, we introduce TopoMesh, a sparse voxel-based VAE that unifies both GT and predicted meshes under a shared Dual Marching Cubes (DMC) topological framework. Specifically, we convert arbitrary input meshes into DMC-compliant representations via a remeshing algorithm that preserves sharp edges using an L$\infty$ distance metric. Our decoder outputs meshes in the same DMC format, ensuring that both predicted and target meshes share identical topological structures.  This establishes explicit correspondences at the vertex and face level, allowing us to derive explicit mesh-level supervision signals for topology, vertex positions, and face orientations with clear gradients. Our sparse VAE architecture employs this unified framework and is trained with Teacher Forcing and progressive resolution training for stable and efficient convergence. Extensive experiments demonstrate that TopoMesh significantly outperforms existing VAEs in reconstruction fidelity, achieving superior preservation of sharp features and geometric details, as shown in Fig. 1."
165,100,core trend paper,C. cluster representative,UniCorn: Unified Correspondence Transformer Across 2D and 3D,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface,foundation/prior; unified pipeline,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Visual correspondence across image-to-image (2D-2D), image-to-point cloud (2D-3D), and point cloud-to-point cloud (3D-3D) geometric matching forms the foundation for numerous 3D vision tasks. Despite sharing a similar problem structure, current methods use task-specific designs with separate models for each modality combination. We present UniCorn, the first correspondence model with shared weights that unifies geometric matching across all three tasks. Our key insight is that Transformer attention naturally captures cross-modal feature similarity. We propose a dual-stream decoder that maintains separate appearance and positional feature streams. This design enables end-to-end learning through stack-able layers while supporting flexible query-based correspondence estimation across heterogeneous modalities. Our architecture employs modality-specific backbones followed by shared encoder and decoder components, trained jointly on diverse data combining pseudo point clouds from depth maps with real 3D correspondence annotations. UniCorn achieves competitive performance on 2D-2D matching and surpasses prior state-of-the-art by 8\% on 7Scenes (2D-3D) and 10\% on 3DLoMatch (3D-3D) in registration recall. Code and model checkpoints will be made publicly available."
166,100,core trend paper,C. cluster representative,UniSH: Unifying Scene and Human Reconstruction in a Feed-Forward Pass,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy; data_benchmark,RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface,foundation/prior; unified pipeline; scale; robustness,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"We present UniSH, a unified, feed-forward framework for joint metric-scale 3D scene and human reconstruction. A key challenge in this domain is the scarcity of large-scale, annotated real-world data, forcing a reliance on synthetic datasets. This reliance introduces a significant sim-to-real domain gap, leading to poor generalization, low-fidelity human geometry, and poor alignment on in-the-wild videos. To address this, we propose an innovative training paradigm that effectively leverages unlabeled in-the-wild data. Our framework bridges strong, disparate priors from scene reconstruction and HMR, and is trained with two core components: (1) a robust distillation strategy to refine human surface details by distilling high-frequency details from an expert depth model, and (2) a two-stage supervision scheme, which first learns coarse localization on synthetic data, then fine-tunes on real data by directly optimizing the geometric correspondence between the SMPL mesh and the human point cloud. This approach enables our feed-forward model to jointly recover high-fidelity scene geometry, human point clouds, camera parameters, and coherent, metric-scale SMPL bodies, all in a single forward pass. Extensive experiments demonstrate that our model achieves state-of-the-art performance on human-centric scene reconstruction and delivers highly competitive results on global human motion estimation, comparing favorably against both optimization-based frameworks and HMR-only methods."
167,100,core trend paper,C. cluster representative,ViLearn: Accelerating Training Convergence of Image-to-3D Generation via Visibility Learning,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; surface_occupancy; generation_editing,RGB-D / depth; multimodal / language,depth / normals; mesh / surface; editable / generative 3D,efficiency; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Single-image-to-3D shape generation has seen remarkable progress, driven by latent diffusion models trained on the compressed latent space of 3D VAEs. However, the task remains intrinsically ill-posed: recovering complete 3D geometry—especially occluded surfaces—from a single view is inherently ambiguous. Existing VecSet-based approaches further exacerbate this challenge by treating shape tokens as an unordered set without explicit positional encoding. This design forces diffusion models to simultaneously learn visible correspondences from the input image and hallucinate invisible geometry within a large, permutation-invariant token space, where the lack of structure significantly hinders training efficiency and convergence stability.To address this, we propose \textit{Visibility Learning}, a training paradigm that injects visibility structure and positional inductive bias into the image-to-3D pipeline. Our method comprises two synergistic components: (1) \textit{Visibility Grouping} (VG), which explicitly partitions VecSet tokens into visible and invisible subsets by exploiting the spatial locality of VecSet VAE decoders; and (2) \textit{Visibility-Aware Positional Encoding} (VAPE), which assigns shared positional embeddings to image tokens and visible shape tokens to amplify their correspondence, while using distinct encodings for invisible tokens to guide hallucination. By explicitly disentangling visible reconstruction from invisible hallucination, our approach shrinks the effective hypothesis space and provides clear structural guidance for diffusion models. Extensive experiments demonstrate that \textit{Visibility Learning} accelerates training convergence by up to \textcolor{red}{4.4$\times$} while achieving superior generation quality compared to strong VecSet-based baselines."
168,100,core trend paper,C. cluster representative,Yo'City: Personalized and Boundless 3D Realistic City Scene Generation via Self-Critic Expansion,3D Vision & Geometry,3D Reconstruction,general_reconstruction; surface_occupancy; generation_editing; data_benchmark,multimodal / language,mesh / surface; editable / generative 3D,benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Realistic 3D city generation is fundamental to a wide range of applications, including virtual reality and digital twins. However, most existing methods rely on training a single diffusion model, which limits their ability to generate personalized and boundless city-scale scenes. In this paper, we present Yo'City, a novel agentic framework that enables user-customized and infinitely expandable 3D city generation by leveraging the reasoning and compositional capabilities of off-the-shelf large models. Specifically, Yo'City first conceptualize the city through a top-down planning strategy that defines a hierarchical “City–District–Grid” structure. The Global Planner determines the overall layout and potential functional districts, while the Local Designer further refines each district with detailed grid-level descriptions. Subsequently, the grid-level 3D generation is achieved through a produce–refine–evaluate isometric image synthesis loop, followed by image-to-3D generation. To simulate continuous city evolution, Yo'City further introduces a user-interactive, relationship-guided expansion mechanism, which performs scene graph–based distance- and semantics-aware layout optimization, ensuring spatially coherent city growth. To comprehensively evaluate our method, we construct a diverse benchmark dataset and design six multi-dimensional metrics that assess generation quality from the perspectives of semantics, geometry, texture, and layout. Extensive experiments demonstrate that Yo'City consistently outperforms existing state-of-the-art methods across all evaluation aspects."
169,100,core trend paper,D. adjacent but useful context,3D-Aware Implicit Motion Control for View-Adaptive Human Video Generation,Generative Models,Video Generation,general_reconstruction; gaussian_radiance; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing; data_benchmark,single image; multi-view images; video / temporal; RGB-D / depth; multimodal / language,depth / normals; radiance field / NVS; editable / generative 3D,foundation/prior; scale; dynamic; editing/generation,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Existing methods for human motion control in video generation typically rely on either 2D poses or explicit 3D parametric models (e.g., SMPL) as control signals. However, 2D poses rigidly bind motion to the driving viewpoint, precluding novel-view synthesis. Explicit 3D models, though structurally informative, suffer from inherent inaccuracies (e.g., depth ambiguity and inaccurate dynamics) which, when used as a strong constraint, override the powerful intrinsic 3D awareness of large-scale video generators. In this work, we revisit motion control from a 3D-aware perspective, advocating for an implicit, view-agnostic motion representation that naturally aligns with the generator's spatial priors rather than depending on externally reconstructed constraints. We introduce 3DiMo, which jointly trains a motion encoder with a pretrained video generator to distill driving frames into compact, view-agnostic motion tokens, injected semantically via cross-attention. To foster 3D awareness, we train with view-rich supervision—single-view, multi-view, and moving-camera videos—forcing motion consistency across diverse viewpoints.  Additionally, we use auxiliary geometric supervision that leverages SMPL only for early initialization and is annealed to zero, enabling the model to transition from external 3D guidance to learning genuine 3D spatial motion understanding from the data and the generator's priors. Experiments confirm that 3DiMo faithfully reproduces driving motions with flexible, text-driven camera control, significantly surpassing existing methods in both motion fidelity and visual quality."
170,100,core trend paper,D. adjacent but useful context,4DWorldBench: A Comprehensive Evaluation Framework for 3D/4D World Generation Models,Data & Evaluation,Benchmark,general_reconstruction; dynamic_4d; surface_occupancy; robotics_mapping; generation_editing; data_benchmark,video / temporal; LiDAR / driving; multimodal / language,mesh / surface; 4D scene; editable / generative 3D,foundation/prior; unified pipeline; dynamic; benchmark/data; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"World Generation Models are emerging as a cornerstone of next-generation multimodal intelligence systems. Unlike traditional 2D visual generation, World Models aim to construct realistic, dynamic, and physically consistent 3D/4D worlds from images, videos, or text. These models not only need to produce high-fidelity visual content but also maintain coherence across space, time, physics, and instruction control, enabling applications in virtual reality, autonomous driving, Embodied Intelligence, and content creation.However, prior benchmarks, however, each emphasize different evaluation dimensions and lack a unified assessment of world-realism capability.To systematically evaluate World Models, we introduce the 4DWorldBench, which measures models across four key dimensions: Perceptual Quality, Condition–4D Alignment, Physical Realism, and 4D Consistency. The benchmark covers tasks such as Image-to-3D/4D, Video-to-4D, Text-to-3D/4D. Beyond these, we innovatively introduce adaptive conditioning across multiple modalities, which not only integrates but also extends traditional evaluation paradigms. To accommodate different modality-conditioned inputs, we map all modality conditions into a unified textual space during evaluation, and further integrate LLM-as-judge, MLLM-as-judge, and traditional network-based methods. This unified and adaptive design enables more comprehensive and consistent evaluation of alignment, physical Realism, and cross-modal coherence.Preliminary human studies further demonstrate that our adaptive tool selection achieves closer agreement with subjective human judgments.We hope this benchmark will serve as a foundation for objective comparisons and improvements, accelerating the transition from ""visual generation"" to ""world generation."""
171,100,core trend paper,D. adjacent but useful context,Breaking the 3D Dataset Bottleneck: Fast Scalable Generation of Aligned 3D Assets from Scratch  for Category 6D Pose Estimation and Robotic Grasping,Data & Evaluation,Benchmark,general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy; robotics_mapping; generation_editing; data_benchmark,RGB-D / depth; multimodal / language,camera pose; depth / normals; mesh / surface; editable / generative 3D,foundation/prior; efficiency; scale; benchmark/data; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"While 2D vision has been revolutionized by large-scale datasets like ImageNet, 3D vision remains constrained by the scarcity of high-quality, canonically aligned data. We introduce the first scalable, automated framework that generates complete category-level 6D pose datasets directly from text prompts, bypassing the need for existing 3D assets. Our method overcomes key challenges by: (1) ensuring reliable, scalable asset generation via a controlled text-to-image-to-3D pipeline; (2) enforcing built-in canonical alignment through depth-conditioned generation, achieving a 96\% pose consistency rate; and (3) enabling large-scale 6D annotation via mixed reality rendering. The pipeline produces high-quality, aligned 3D meshes in under 3 minutes per object—a 5–20$\times$ speedup over traditional scanning. We generate over 1,000 instances for each of the 153 categories in the Omni6Dpose benchmark, culminating in 153,000 aligned meshes—a >40$\times$ increase in instances per category over previous aligned real-world datasets. Extensive evaluation demonstrates competitive zero-shot sim2real transfer on the NOCS 6D pose benchmark and superior robotic grasping performance in both simulation and real-world zero-shot transfer, where aligned meshes prove essential for success. We release the largest publicly available aligned 3D mesh dataset, largest category-level 6D pose dataset, grasping simulation environments, and open-source pipeline, providing a critical step toward foundation models for 3D understanding and enabling efficient, unlimited generation of task-specific 3D data from scratch."
172,100,core trend paper,D. adjacent but useful context,Dexterous World Models,Robotics & Embodied AI,Embodied AI,general_reconstruction; gaussian_radiance; dynamic_4d; surface_occupancy; robotics_mapping; generation_editing; data_benchmark,video / temporal,mesh / surface; radiance field / NVS; editable / generative 3D,dynamic; benchmark/data; editing/generation,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Recent progress in 3D reconstruction has made it easy to create realistic digital twins from everyday environments. However, current digital twins remain largely static—limited to navigation and view synthesis without embodied interactivity. To bridge this gap, we introduce Dexterous World Model (DWM), an scene-action-conditioned video diffusion model enabling embodied interaction within static 3D scenes. Given a static 3D scene rendering and an egocentric hand motion sequence, DWM generates temporally coherent videos depicting plausible human–scene interactions. Our approach conditions video generation on (1) static scene renderings following a specified camera trajectory to ensure spatial consistency, and (2) egocentric hand mesh renderings that encode both geometry and motion cues in the egocentric view to model action-conditioned dynamics directly. We train our model on a synthetic human–scene interaction dataset and real-world object manipulation dataset, then evaluate it across both synthetic and real-world egocentric benchmarks. Experiments demonstrate that DWM enables realistic, physically grounded interactions, such as grasping, opening, or moving objects, while maintaining camera and scene consistency. This framework establishes the first step toward video diffusion-based interactive digital twins, enabling embodied simulation and 3D scene interactivity from egocentric actions."
173,100,core trend paper,D. adjacent but useful context,DGGT: Feedforward 4D Reconstruction of Dynamic Driving Scenes using Unposed Images,Autonomous Driving,Autonomous Driving,general_reconstruction; gaussian_radiance; pose_calibration_localization; dynamic_4d; surface_occupancy; robotics_mapping; data_benchmark,multi-view images; video / temporal; LiDAR / driving,camera pose; Gaussian map; mesh / surface; 4D scene,foundation/prior; unified pipeline; efficiency; scale; dynamic; benchmark/data,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Autonomous driving needs fast, scalable 4D reconstruction and re-simulation for training and evaluation, yet most methods for dynamic driving scenes still rely on per-scene optimization, known camera calibration, or short frame windows, making them slow and impractical. We revisit this problem from a feedforward perspective and introduce Driving Gaussian Grounded Transformer (DGGT), a unified framework for pose-free dynamic scene reconstruction. We note that the existing formulations, treating camera pose as a required input, limit flexibility and scalability. Instead, we reformulate pose as an output of the model, enabling reconstruction directly from sparse, unposed images and supporting an arbitrary number of views for long sequences. Our approach jointly predicts per-frame 3D Gaussian maps and camera parameters, disentangles dynamics with a lightweight dynamic head, and preserves temporal consistency with a lifespan head that modulates visibility over time. A diffusion-based rendering refinement further reduces motion/interpolation artifacts and improves novel-view quality under sparse inputs. The result is a single-pass, pose-free algorithm that achieves state-of-the-art performance and speed. Trained and evaluated on large-scale driving benchmarks (Waymo, nuScenes, Argoverse2), our method outperforms prior work both when trained on each dataset and in zero-shot transfer across datasets, and it scales well as the number of input frames increases."
174,100,core trend paper,D. adjacent but useful context,Ego-1K – A Large-Scale Multiview Video Dataset for Egocentric Vision,Data & Evaluation,Benchmark,general_reconstruction; gaussian_radiance; pose_calibration_localization; dynamic_4d; surface_occupancy; robotics_mapping; data_benchmark,multi-view images; video / temporal,mesh / surface; radiance field / NVS; 4D scene,scale; dynamic; benchmark/data,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"We present Ego-1K, a large-scale, time-synchronized collection of egocentric multiview videos designed to advance neural 3D video synthesis, dynamic scene understanding, and embodied perception. The dataset contains nearly 1,000 short egocentric videos taken with a custom rig with 12 synchronous cameras surrounding a VR headset worn by the user.  Scene content focuses on hand motions and hand-object interactions in different settings.  We describe rig design, data processing, and calibration.  Our dataset enables new ways to benchmark egocentric scene reconstruction methods.  We believe this is an important area of research as smart glasses with multiple cameras become omnipresent.  Our experiments demonstrate that our dataset presents unique challenges for existing 3D and 4D novel view synthesis methods due to high disparities and image motion caused by close dynamic objects and rig egomotion.  Our dataset supports future research in this challenging domain, enabling 4D world creation and sharing."
